company_name,year,policy_point,category,severity,impact,status
Microsoft,2018,"Responsible AI framework created","Ethics Principles","medium","Foundational ethics structure","active"
Microsoft,2018,"Focus on fairness and transparency","Transparency","medium","Clear disclosure standards","active"
Microsoft,2018,"AI ethics principles established","Ethics Principles","medium","Core ethical guidelines","active"
Microsoft,2018,"Privacy and security emphasis","Privacy","high","Data protection priority","active"
Microsoft,2018,"Accountability mechanisms defined","Accountability","medium","Clear responsibility","active"
Microsoft,2018,"Human-centered design approach","Philosophy","low","User-focused design","active"
Microsoft,2019,"AI ethics board appointed","Governance","high","Ethics oversight body","active"
Microsoft,2019,"Responsible AI Standard developed","Standards","medium","Industry-leading standard","active"
Microsoft,2019,"Transparency requirements mandated","Transparency","medium","Mandatory disclosure","active"
Microsoft,2019,"Fairness testing framework","Technical","low","Automated fairness checks","active"
Microsoft,2019,"Privacy by design implemented","Privacy","high","Privacy-first methodology","active"
Microsoft,2020,"Responsible AI initiatives expanded","Commitment","medium","Broader commitment","active"
Microsoft,2020,"Transparency in cloud services","Transparency","medium","Service transparency","active"
Microsoft,2020,"Fairness in AI systems","Fair Representation","medium","Bias reduction","active"
Microsoft,2020,"Human-AI collaboration focus","Philosophy","low","Partnership approach","active"
Microsoft,2020,"Stakeholder engagement expanded","Partnership","low","Broader consultation","active"
Microsoft,2021,"Responsible AI leadership commitment","Commitment","medium","Strategic focus","active"
Microsoft,2021,"Transparency initiatives advanced","Transparency","medium","Enhanced disclosure","active"
Microsoft,2021,"Fairness frameworks refined","Fair Representation","medium","Improved fairness","active"
Microsoft,2021,"Ethics training mandated","Training","low","Mandatory ethics edu","active"
Microsoft,2022,"AI ethics research funding","Research","low","Ethics investment","active"
Microsoft,2022,"Global responsible AI community","Partnership","low","International network","active"
Microsoft,2022,"Responsible AI certification launched","Certification","low","Professional cert","active"
IBM,2018,"AI ethics principles announced","Ethics Principles","medium","Clear principles","active"
IBM,2018,"Explainability as priority","Transparency","high","AI interpretability focus","active"
IBM,2018,"Fairness metrics development","Fair Representation","medium","Quantifiable fairness","active"
IBM,2018,"Trustworthy AI commitment","Ethics Principles","medium","Trust-based approach","active"
IBM,2018,"Governance framework created","Governance","medium","Oversight structure","active"
IBM,2019,"AI ethics board established","Governance","high","Formal oversight","active"
IBM,2019,"Explainable AI tools released","Technical","medium","Interpretability tools","active"
IBM,2019,"Fairness toolkit for developers","Technical","low","Developer resources","active"
IBM,2019,"Ethics guidelines for clients","Standards","low","Customer guidance","active"
IBM,2019,"Trust and transparency framework","Framework","medium","Integrated approach","active"
IBM,2020,"Fairness and transparency focus","Fair Representation","medium","Bias mitigation","active"
IBM,2020,"Explainability enhancements","Technical","medium","Better explanations","active"
IBM,2020,"Ethics training programs","Training","low","Staff education","active"
IBM,2020,"Responsible AI services launched","Services","low","Ethics-focused services","active"
IBM,2021,"AI governance framework strengthened","Governance","medium","Enhanced oversight","active"
IBM,2021,"Transparency in AI applications","Transparency","medium","Clear disclosure","active"
IBM,2021,"Fairness research initiatives","Research","low","Fairness studies","active"
IBM,2021,"Ethics in enterprise AI","Standards","medium","Enterprise standards","active"
IBM,2022,"AI ethics certification program","Certification","low","Professional certification","active"
IBM,2022,"Explainable AI expansion","Technical","medium","Broader explainability","active"
IBM,2022,"Responsible AI center established","Governance","medium","Dedicated center","active"
Amazon,2018,"Customer trust and safety","Ethics Principles","medium","Trust foundation","active"
Amazon,2018,"Fair representation in AI","Fair Representation","medium","Unbiased systems","active"
Amazon,2018,"Data privacy commitment","Privacy","high","Customer data protection","active"
Amazon,2018,"Responsibility in automation","Accountability","medium","Clear responsibility","active"
Amazon,2018,"Accessibility considerations","Accessibility","low","Inclusive design","active"
Amazon,2019,"AWS AI ethics resources","Standards","medium","Public guidance","active"
Amazon,2019,"Fairness in recommendation systems","Fair Representation","medium","Unbiased recommendations","active"
Amazon,2019,"Privacy in data analytics","Privacy","high","Data protection","active"
Amazon,2019,"Accountability in decision making","Accountability","medium","Clear decisions","active"
Amazon,2019,"Customer feedback mechanisms","Engagement","low","User input channels","active"
Amazon,2020,"Responsible AI governance","Governance","medium","Formal structure","active"
Amazon,2020,"Privacy protections enhanced","Privacy","high","Stronger protection","active"
Amazon,2020,"Fairness audits conducted","Evaluation","medium","Regular audits","active"
Amazon,2020,"Transparency initiatives","Transparency","medium","Clear disclosure","active"
Amazon,2020,"Accessibility improvements","Accessibility","low","Inclusive features","active"
Amazon,2021,"AI ethics committees formed","Governance","medium","Oversight bodies","active"
Amazon,2021,"Responsible innovation framework","Framework","medium","Ethics framework","active"
Amazon,2021,"Privacy-first AI development","Privacy","high","Privacy priority","active"
Amazon,2021,"Transparency expanded","Transparency","medium","More disclosure","active"
Amazon,2022,"Responsible AI investment","Commitment","medium","Funding ethics","active"
Amazon,2022,"Fairness improvements","Fair Representation","medium","Better fairness","active"
Amazon,2022,"Privacy innovation","Privacy","high","Privacy tech","active"
Meta,2018,"Social good focus","Ethics Principles","low","Societal benefit","active"
Meta,2018,"Community standards for AI","Standards","medium","Community rules","active"
Meta,2018,"User privacy emphasis","Privacy","high","Privacy protection","active"
Meta,2018,"Transparency in content AI","Transparency","medium","Clear algorithms","active"
Meta,2019,"AI ethics team created","Governance","high","Dedicated team","active"
Meta,2019,"Transparency in moderation","Transparency","medium","Moderation clarity","active"
Meta,2019,"Fairness in recommendations","Fair Representation","medium","Unbiased feed","active"
Meta,2019,"Privacy controls expanded","Privacy","high","More user control","active"
Meta,2020,"Ethics board established","Governance","high","Oversight board","active"
Meta,2020,"Content policy transparency","Transparency","medium","Policy clarity","active"
Meta,2020,"Fairness audits started","Evaluation","medium","Regular checks","active"
Meta,2020,"Privacy enhancements","Privacy","high","Better protection","active"
Meta,2021,"Responsible AI initiatives","Commitment","medium","Ethical focus","active"
Meta,2021,"Moderation AI improvements","Technical","medium","Better moderation","active"
Meta,2021,"Transparency expanded","Transparency","medium","More disclosure","active"
Meta,2021,"User autonomy focus","Philosophy","low","User choice","active"
Meta,2022,"Advanced fairness tools","Technical","medium","Better fairness","active"
Meta,2022,"Recommendation system ethics","Ethics Principles","medium","Algorithm ethics","active"
Meta,2022,"Transparency initiatives","Transparency","medium","Clear disclosure","active"
Tesla,2018,"Safety as ethical imperative","Ethics Principles","high","Safety priority","active"
Tesla,2018,"Autonomous vehicle ethics","Ethics Principles","high","Vehicle ethics","active"
Tesla,2018,"Transparency in autonomy","Transparency","high","Clear disclosure","active"
Tesla,2018,"Continuous safety testing","Safety","high","Rigorous testing","active"
Tesla,2018,"Accountability for decisions","Accountability","high","Clear responsibility","active"
Tesla,2019,"AI safety research","Research","medium","Safety studies","active"
Tesla,2019,"Safety metrics published","Transparency","high","Public metrics","active"
Tesla,2019,"Autonomous testing protocols","Standards","high","Testing standards","active"
Tesla,2019,"Safety validation framework","Evaluation","high","Validation system","active"
Tesla,2020,"Advanced safety systems","Safety","high","New safety tech","active"
Tesla,2020,"Safety reports released","Transparency","high","Public reports","active"
Tesla,2020,"Autonomous ethics framework","Framework","high","Ethics system","active"
Tesla,2020,"Continuous improvement","Philosophy","high","Always improving","active"
Tesla,2021,"Safety system enhancements","Safety","high","System upgrades","active"
Tesla,2021,"Transparent accountability","Accountability","high","Clear responsibility","active"
Tesla,2021,"Research publications","Documentation","high","Public research","active"
Tesla,2022,"Next-generation safety","Safety","high","Future safety","active"
Tesla,2022,"Ethical autonomous driving","Ethics Principles","high","Driving ethics","active"
Tesla,2022,"Safety validation advancement","Evaluation","high","Advanced validation","active"
Apple,2018,"Privacy fundamental right","Privacy","high","Privacy principle","active"
Apple,2018,"Ethical AI development","Ethics Principles","medium","Ethics commitment","active"
Apple,2018,"Transparency standards","Transparency","medium","Clear standards","active"
Apple,2018,"User data protection","Privacy","high","Data security","active"
Apple,2018,"Accessibility focus","Accessibility","low","Inclusive design","active"
Apple,2019,"On-device AI processing","Privacy","high","Local processing","active"
Apple,2019,"Privacy-first products","Philosophy","high","Privacy default","active"
Apple,2019,"Accessibility enhancements","Accessibility","low","Inclusive features","active"
Apple,2019,"Ethical guidelines published","Standards","medium","Public guidance","active"
Apple,2020,"Privacy protections expanded","Privacy","high","Stronger protection","active"
Apple,2020,"Accessibility improvements","Accessibility","low","Better inclusion","active"
Apple,2020,"Fairness initiatives","Fair Representation","medium","Bias reduction","active"
Apple,2020,"Transparency commitment","Transparency","medium","Clear disclosure","active"
Apple,2021,"Privacy-preserving technologies","Technical","high","Privacy innovation","active"
Apple,2021,"Accessibility for all","Philosophy","medium","Inclusive approach","active"
Apple,2021,"Ethical business practices","Ethics Principles","medium","Business ethics","active"
Apple,2022,"Privacy research","Research","high","Privacy studies","active"
Apple,2022,"Accessibility leadership","Leadership","medium","Industry leading","active"
Apple,2022,"Ethical AI principles","Ethics Principles","medium","Refined principles","active"
Google,2018,"AI for good","Social Impact","low","Social benefit","active"
